Entity,Day,Training dataset size,Domain
DLRM-2020,2019-05-31,38571428,Other
DNABERT,2021-08-15,1444128539,Biology
DNN EM segmentation,2012-12-03,3000000,Vision
DQN,2013-12-19,160000000,Games
DQN-2015,2015-02-25,12500000,Games
DTN (Domain Transfer Network),2016-11-07,2000000,Multiple domains
DeBERTa,2021-06-10,20800000000,Language
DeLighT,2020-08-03,103000000,Language
DeViSE,2013-12-05,5401200000,Vision
Decision tree (classification),2001-12-08,753616,Vision
Deep Autoencoders,2011-04-29,4915200000,Vision
Deep Belief Nets,2006-07-18,47100000,Vision
Deep CNN + COTS,2015-07-26,494414,Vision
Deep Multitask NLP Network,2008-07-05,633000000,Language
Deep rectifier networks,2011-04-13,81920000,Vision
DeepFace,2014-06-23,4400000,Vision
DeepLab (2017),2017-04-27,26455000,Vision
DeepLabV3,2017-06-17,8354563074,Vision
DeepLabV3+,2018-02-07,8655843074,Vision
DeepNash,2022-12-01,2109703680000,Games
DeepNet,2022-03-01,272629760000,Language
DeepSeek-Coder-V2 236B,2024-06-17,3191000000000,Language
DeepSeek-R1,2025-01-20,14800000000000,Language
DeepSeek-R1 (May 2025),2025-05-28,14800000000000,Language
DeepSeek-V3,2024-12-24,14800000000000,Language
DeepSeek-V3 (Mar 2025),2025-03-24,14800000000000,Language
DeepStack,2017-01-06,25380000000,Games
Deeply-supervised nets,2014-09-18,598388,Vision
DeiT-B,2021-01-15,3840000,Vision
Denoising Autoencoders,2008-07-05,7840000,Other
Denoising Diffusion Probabilistic Models (LSUN Bedroom),2021-06-11,596320321536,Vision
DensePhrases,2020-12-23,58000000,Language
DiT-XL/2 + Discriminator Guidance,2022-11-28,327978752,Image generation
DiffDock,2022-10-04,4352000,Biology
Dimensionality Reduction,2006-07-18,47040000,Vision
Discriminator Guidance,2022-11-28,327978752,Image generation
DistBelief NNLM,2013-01-16,6000000000,Language
DistBelief Speech,2012-12-03,1100000000,Speech
DistBelief Vision,2012-12-03,16000000,Vision
DistilBERT,2019-10-02,495000000,Language
Distributed representation NN,1986-08-15,100,Other
DnCNN,2017-02-01,2560000000,Multiple domains
Doubao-1.5-pro,2025-01-22,9000000000000,Language
Doubao-pro,2024-10-28,8350000000000,Language
DreamerV3,2023-01-10,1600000000,Games
Dropout (CIFAR),2012-06-03,60000,Vision
Dropout (ImageNet),2012-06-03,2600000,Vision
Dropout (MNIST),2012-06-03,60000,Vision
Dropout-LSTM+Noise(Bernoulli) (WT2),2018-05-03,2000000,Language
Dropout: SVHN,2014-06-01,600000,Vision
EI-REHN-1000D,2017-08-14,929000,Language
ELECTRA,2020-03-23,33000000000,Language
ELMo,2018-02-01,2000000000,Language
EMDR,2021-06-09,171600000000,Language
ERNIE 3.0,2021-07-05,375000000000,Language
ERNIE 3.0 Titan,2021-12-23,668000000000,Language
ERNIE-Doc (247M),2020-12-31,103000000,Language
ERNIE-GEN (large),2020-08-06,114666666666,Language
ESM1b,2020-12-15,27750400000,Biology
ESM2-15B,2022-07-21,15360000000,Biology
ESM3 (98B),2024-06-25,771000000000,Biology
EVA-01,2022-11-14,7577600000,Vision
EXAONE 3.5 32B,2024-12-09,6500000000000,Language
EXAONE 4.0 (32B),2025-07-15,14000000000000,Language
EXAONE Deep 32B,2025-03-16,12000000000,Language
EXAONE Path 2.0,2025-07-09,144450,Multiple domains
EfficientNet-L2,2019-05-28,1280000,Vision
EfficientZero,2021-10-30,100000,Games
EnhanceNet,2016-12-23,9830400000,Vision
Enhanced Neighborhood-Based Filtering,2007-10-28,100000000,Other
Error Propagation,1986-01-03,64,Other
Eurus-2-7B-PRIME,2025-02-03,830000,Other
Eve,2021-10-27,24167054120,Biology
FFN SwiGLU,2020-02-14,50600083456,Language
FLAN 137B,2021-09-03,2490000000000,Language
FTW (For The Win),2018-07-03,2000000000,Games
Falcon-180B,2023-09-06,3500000000000,Language
Falcon-40B,2023-03-15,1000000000000,Language
