Entity,Day,Training dataset size,Domain
System 11,1996-06-18,23750,Vision
T-DMCA,2018-01-30,14000000000,Language
T5-11B,2019-10-23,34000000000,Language
T5-3B,2019-10-23,5100000000,Language
TA-CNN,2014-11-29,45000,Vision
TC-DNN-BLSTM-DNN,2015-04-06,29160000,Speech
TCAN (WT2),2020-02-28,2000000,Language
TCN (P-MNIST),2018-02-15,60000,Vision
TD-Gammon,1992-05-01,6300000,Games
TFE SVM,2006-02-02,600000,Vision
TaLK Convolution,2020-02-08,103000000,Language
Table Tennis Agent,2024-08-07,2400000000,Robotics
Telechat2-115B,2024-09-20,10000000000000,Language
Template Adaptation
,2016-03-12,7797,Vision
Tensor-Transformer(1core)+PN (WT103),2020-03-17,103000000,Language
Theseus,1950-07-02,40,Robotics
Theseus 6/768,2020-02-07,393000,Language
Thumbs Up?,2002-05-28,1400,Language
Tranception,2022-05-27,48230400000,Biology
TransE,2013-12-05,17500000,Language
Transformer (2017),2017-06-12,832000000,Language
Transformer (Adaptive Input Embeddings) WT103,2018-09-28,100000000,Language
Transformer + Simple Recurrent Unit,2018-09-17,112500000,Language
Transformer - LibriVox + Decoding/Rescoring,2019-11-19,981312000,Speech
Transformer ELMo,2019-01-01,2000000000,Language
Transformer local-attention (NesT-B),2021-05-26,1280000,Vision
Transformer-XL (257M),2019-01-09,103000000,Language
Transformer-XL + RMS dynamic eval,2019-04-17,103000000,Language
Transformer-XL DeFINE (141M),2019-11-27,103000000,Language
Transformer-XL Large + Phrase Induction,2019-06-04,103000000,Language
TransformerXL + spectrum control,2020-03-11,103000000,Language
Translation-invariant MLP,1987-06-15,160,Other
TrellisNet,2018-10-15,103000000,Language
TriNet,2017-11-21,509914,Other
True-Regularization+Finetune+Dynamic-Eval,2019-04-08,929000,Language
Turing-NLG,2020-02-13,46400000000,Language
Two Stage Feature Extraction (MNIST),2009-09-01,50000,Vision
Two-stream ConvNets for action recognition,2014-06-09,1289500,Other
U-Net,2015-05-18,7864320,Vision
U-PaLM (540B),2022-10-20,1300000000,Language
UDSMProt,2019-09-04,149700000,Biology
UL2,2022-05-10,1000000000000,Language
Unsupervised High-level Feature Learner,2012-07-12,1200000000000,Vision
VALL-E,2023-01-05,76800000000,Multiple domains
VD-LSTM+REAL Large,2016-11-04,929000,Language
VGG-Face,2015-01-01,2600000,Vision
VGG16,2014-09-04,1300000,Vision
VGG19,2014-09-04,1300000,Vision
VILA-13B,2023-12-12,32430000000,Multiple domains
VILA1.5-13B,2024-05-03,32430000000,Multiple domains
VQ-VAE,2017-11-02,62914560000,Vision
VQGAN + CLIP,2020-12-17,251988480000,Image generation
"Variational (untied weights, MC) LSTM (Large)",2015-12-16,929000,Language
Vector Space Model,2011-06-19,5650000,Language
Vega v2,2022-12-04,6439999999,Language
ViT-22B,2023-02-10,4000000000,Vision
ViT-Base/32,2020-10-22,303000000,Vision
ViT-G (model soup),2022-03-10,1752320000,Vision
ViT-G/14,2021-06-08,3000000000,Vision
ViT-G/14 (LiT),2021-11-15,1040000000000,Vision
ViT-Huge/14,2020-10-22,303000000,Vision
VideoMAE V2,2023-03-29,1243350000,Other
Visualizing CNNs,2013-11-12,7680000,Vision
WaveNet,2016-09-12,11520000000,Speech
WeNet (Penn Treebank),2019-04-08,929000,Language
Weight Decay,1991-12-02,25000,Speech
Whisper,2022-09-21,12403200000,Speech
Wide Residual Network,2016-09-19,1280000,Vision
Word2Vec (large),2013-10-16,330000000000,Language
Word2Vec (small),2013-10-16,10000000000,Language
XGLM-7.5B,2021-12-20,500000000000,Language
XLM-RoBERTa,2019-11-05,167000000000,Language
XLMR-XXL,2021-08-17,167000000000,Language
XLNet,2019-06-01,32890000000,Language
Xception,2016-10-07,350000000,Vision
YOLOX-X,2021-08-06,2500000,Vision
YOLOv2,2016-12-25,1280000,Vision
YOLOv3,2018-04-08,5430000,Vision
Yi-34B,2023-11-02,3100000000000,Language
Yi-Large,2024-05-13,3000000000000,Language
Yuan 1.0,2021-10-12,180000000000,Language
Zip CNN,1989-12-01,7291,Vision
aLSTM(depth-2)+RecurrentPolicy (WT2),2018-05-22,2000000,Language
base LM+GNN+kNN,2021-10-17,103000000,Language
data2vec (language),2022-01-20,131072000000,Language
data2vec (speech),2022-01-20,17510400,Speech
data2vec (vision),2022-01-20,251108732,Vision
eDiff-I,2022-11-02,1556275200000,Image generation
genCNN + dyn eval,2015-03-17,929000,Language
iCCCP,2010-06-13,10000,Vision
mPLUG-Owl2,2023-11-07,182032793600,Multiple domains
mT0-13B,2022-11-03,20000000000,Language
mT5-XXL,2020-10-20,1000000000000,Language
nekomata-14b,2023-12-21,66000000000,Language
top-down frozen classifier,2021-02-09,3408000,Speech
wave2vec 2.0 LARGE,2020-10-22,4598395200,Speech
xTrimoPGLM -100B,2023-07-06,275000000000,Biology
