Entity,Day,Training computation (petaFLOP)
EVA-01,2022-11-14,15010000
EXAONE 3.5 32B,2024-12-09,1250000000
EXAONE 4.0 (32B),2025-07-15,2690000000
EXAONE Deep 32B,2025-03-16,1260000000
Eagle 2,2025-01-20,47156000
EfficientNetV2-XL,2021-06-23,95600.01
EnhanceNet,2016-12-23,130.79233
FFN SwiGLU,2020-02-14,33687.316
FGN,2025-06-12,9618951
FLAN 137B,2021-09-03,2047000000
FTW (For The Win),2018-07-03,34900
Falcon-180B,2023-09-06,3760000300
Falcon-40B,2023-03-15,240000000
Feedback Transformer,2020-02-21,7690.5474
Feedforward NN,2010-05-13,0.35000002
FinGPT-13B,2023-10-07,160000000
Fine-tuned-AWD-LSTM-DOC (fin),2018-11-12,51.88
Flamingo,2022-04-29,218972000
Flan-PaLM 540B,2022-10-20,2540000000
Florence,2021-11-22,48310000
Fold2Seq,2021-06-24,140
FourCastNet,2022-02-22,345047.06
Fractional Max-Pooling,2014-12-18,100
Fraternal dropout + AWD-LSTM 3-layer (WT2),2017-10-31,306
FunSearch,2023-12-14,387000000
Fusion in Encoder,2022-11-18,130000
GANs,2014-06-10,518.4
GGNN,2023-08-05,7560000.5
GL-LWGC-AWD-MoS-LSTM + dynamic evaluation (WT2),2017-08-29,456.00003
GLM-130B,2022-08-04,354900540
GLM-4.5,2025-08-05,4420000300
GLM-4.6,2025-09-30,4420000300
GLM-4.7,2025-12-22,4420000300
GLM-5,2026-02-17,6840000500
GLaM,2021-12-13,363631140
GNMT,2016-09-26,6620000
GNN,2008-12-09,0.0000016145999
GOAT,2021-07-27,24120000
GPT-1,2018-06-01,17578.125
GPT-2 (1.5B),2019-02-14,1920000.1
GPT-2 Medium (FlashAttention),2022-05-27,892809.25
GPT-3 175B (davinci),2020-05-28,314000000
GPT-3.5 (davinci-002)
,2022-03-15,2578000000
GPT-4 (Jun 2023),2023-03-15,21000000000
GPT-4 (Mar 2023),2023-03-15,21000000000
GPT-4.5,2025-02-27,380000000000
GPT-5,2025-08-07,66000003000
GPT-NeoX-20B,2022-02-09,93162700
GPU DBNs,2009-06-15,1
GQA-8-XXL,2023-12-23,34912896
GShard (dense),2020-06-30,47650000
Galactica,2022-11-16,324000000
Gato,2022-05-12,4020000
Gemini 1.0 Ultra,2023-12-06,50000003000
GenCast,2024-05-01,816998.44
GenSLM,2022-10-11,1420000
Generative BST,2021-03-05,14490000
German ELECTRA Large,2020-10-21,1428295.6
