Entity,Day,Training dataset size
DeepNash,2022-12-01,2109703700000
DeepNet,2022-03-01,272629760000
DeepSeek-Coder-V2 236B,2024-06-17,3191000000000
DeepSeek-R1,2025-01-20,14800000000000
DeepSeek-R1 (May 2025),2025-05-28,14800000000000
DeepSeek-V3,2024-12-24,14800000000000
DeepSeek-V3 (Mar 2025),2025-03-24,14800000000000
DeepStack,2017-01-06,25380000000
Deeply-supervised nets,2014-09-18,598388
DeiT-B,2021-01-15,3840000
Denoising Autoencoders,2008-07-05,7840000
Denoising Diffusion Probabilistic Models (LSUN Bedroom),2021-06-11,596320300000
DensePhrases,2020-12-23,58000000
DiT-XL/2 + Discriminator Guidance,2022-11-28,327978750
DiffDock,2022-10-04,4352000
Dimensionality Reduction,2006-07-18,47040000
Discriminator Guidance,2022-11-28,327978750
DistBelief NNLM,2013-01-16,6000000000
DistBelief Speech,2012-12-03,1100000000
DistBelief Vision,2012-12-03,16000000
DistilBERT,2019-10-02,495000000
Distributed representation NN,1986-08-15,100
DnCNN,2017-02-01,2560000000
Doubao-1.5-pro,2025-01-22,9000000000000
Doubao-pro,2024-10-28,8350000000000
DreamerV3,2023-01-10,1600000000
Dropout (CIFAR),2012-06-03,60000
Dropout (ImageNet),2012-06-03,2600000
Dropout (MNIST),2012-06-03,60000
Dropout-LSTM+Noise(Bernoulli) (WT2),2018-05-03,2000000
Dropout: SVHN,2014-06-01,600000
EI-REHN-1000D,2017-08-14,929000
ELECTRA,2020-03-23,33000000000
ELMo,2018-02-01,2000000000
EMDR,2021-06-09,171600000000
ERNIE 3.0,2021-07-05,375000000000
ERNIE 3.0 Titan,2021-12-23,668000000000
ERNIE-Doc (247M),2020-12-31,103000000
ERNIE-GEN (large),2020-08-06,114666670000
ESM1b,2020-12-15,27750400000
ESM2-15B,2022-07-21,15360000000
ESM3 (98B),2024-06-25,771000000000
EVA-01,2022-11-14,7577600000
EXAONE 3.5 32B,2024-12-09,6500000000000
EXAONE 4.0 (32B),2025-07-15,14000000000000
EXAONE Deep 32B,2025-03-16,12000000000
EXAONE Path 2.0,2025-07-09,144450
EfficientNet-L2,2019-05-28,1280000
EfficientZero,2021-10-30,100000
EnhanceNet,2016-12-23,9830400000
Enhanced Neighborhood-Based Filtering,2007-10-28,100000000
Error Propagation,1986-01-03,64
Eurus-2-7B-PRIME,2025-02-03,830000
Eve,2021-10-27,24167053000
FFN SwiGLU,2020-02-14,50600083000
FLAN 137B,2021-09-03,2490000000000
FTW (For The Win),2018-07-03,2000000000
Falcon-180B,2023-09-06,3500000000000
Falcon-40B,2023-03-15,1000000000000
Fast R-CNN,2015-04-30,25600000
Faster R-CNN,2015-06-04,102400000
Feedback Transformer,2020-02-21,103000000
Feedforward NN,2010-05-13,90000
Ferret (13B),2023-10-11,172649570
FinGPT-13B,2023-10-07,76800
Fine-tuned-AWD-LSTM-DOC (fin),2018-11-12,1044112
FixRes ResNeXt-101 WSL,2019-06-14,940000000
Flamingo,2022-04-29,458333320000
Flan-PaLM 540B,2022-10-20,1400000000
Florence,2021-11-22,7500000000
Fold2Seq,2021-06-24,45995
Fractional Max-Pooling,2014-12-18,901200
Fragment embedding,2014-06-21,15000000
Fraternal dropout + AWD-LSTM 3-layer (WT2),2017-10-31,2000000
Fusion in Encoder,2022-11-18,960000
GANs,2014-06-10,120000
GAWWN,2016-10-08,235760
GL-LWGC-AWD-MoS-LSTM + dynamic evaluation (WT2),2017-08-29,2000000
GLEE,1968-07-01,6000
GLM-130B,2022-08-04,152000000000
GLM-4 (0520),2024-05-20,10000000000000
GLM-4.5,2025-08-05,23100000000000
GLM-4.6,2025-09-30,23000000000000
GLaM,2021-12-13,600000000000
GNMT,2016-09-26,720000000
GNN,2008-12-09,207
GNoME for crystal discovery,2023-11-29,69000
GOAT,2021-07-27,798720000000000
GPT-1,2018-06-01,1333333400
GPT-2 (1.5B),2019-02-14,10666667000
GPT-2 Medium (FlashAttention),2022-05-27,10130000000
GPT-3 175B (davinci),2020-05-28,238000000000
GPT-4 (Jun 2023),2023-03-15,5416667000000
GPT-4 (Mar 2023),2023-03-15,5416667000000
GPT-NeoX-20B,2022-02-09,341173370000
GPU DBNs,2009-06-15,121344000000
GPipe (Transformer),2018-11-16,1450000000000
GSM,2017-07-30,215570
GShard (dense),2020-06-30,346666660000
Galactica,2022-11-16,106000000000
Gated HORNN (3rd order),2016-04-30,22400000
Gato,2022-05-12,524288000000
GenSLM,2022-10-11,225280000000
Generative BST,2021-03-05,56800000000
German ELECTRA Large,2020-10-21,36383730000
GloVe (32B),2014-01-01,315209600
GloVe (6B),2014-01-01,66453980
Go-explore,2020-04-27,40000000000
Goat-7B,2023-05-23,43700000
Golem,1992-10-01,1612
GoogLeNet / InceptionV1,2014-09-17,571392000000
Gopher (280B),2021-12-08,300000000000
Gradient Boosting Machine,2001-10-01,5000
Greedy layer-wise DNN training,2006-12-04,107100000
Grok-1,2023-11-04,6200000000000
HLBL,2008-12-08,14000000
HR-ResNet101,2016-12-13,8243968
HRA,2017-06-13,150000000
Hanabi 4 player,2019-02-01,20000000000
Handwritten digit recognition network,1989-11-27,9840
Hierarchical Cognitron,1984-04-01,5
Hierarchical LM,2005-01-06,900000
Hierarchical Scene Labeling (Stanford Background),2013-08-01,71380800
High Performance CNN (NORB),2011-07-16,50000
Histograms of Oriented Gradients,2005-06-25,14658
HuBERT,2021-07-27,864000000
Hunyuan-Large,2024-11-06,7000000000000
Hunyuan-TurboS,2025-03-11,16000000000000
Hybrid H3-2.7B,2022-12-28,400000000000
HyenaDNA,2023-06-27,2945000000
HyperCLOVA 204B,2021-09-10,560000000000
HyperNEAT,2014-03-05,750000000
IBM Model 4,1999-07-02,800000
IBM-5,1993-06-15,28850104
IMPALA,2018-02-05,11400000000
ISR network,1990-10-01,600000
ISS,2017-09-15,929000
Image generation,2013-12-20,47040000
Image-to-image cGAN,2016-11-21,2400000
Inception v3,2015-12-02,1200000
Inception-ResNet-V2,2016-02-23,1280000
Inceptionv4,2016-02-23,1280000
Incoder-6.7B,2023-04-09,52000000000
Inflated 3D ConvNet,2017-06-01,240000
InstructGPT 175B,2022-01-27,16969896
InternImage,2022-11-10,83692000000
InternLM,2023-07-06,1600000000000
Invariant CNN,2004-06-27,24300
JFT,2017-07-10,5487300000000
JPMAX,1994-12-02,1500
Jais,2023-08-29,395000000000
Jurassic-1-Jumbo,2021-08-11,300000000000
K-EXAONE,2025-12-31,11000000000000
KEPLER,2020-11-23,3533640000
KN-LM,2007-06-22,31000000000
KataGo,2019-02-27,241000000
Kimi K2,2025-07-11,15500000000000
Kohonen network,1981-07-25,4000
LCNP LabelMe,2009-11-22,40000
LCNP MNIST,2009-11-22,50000
LCNP NORB,2009-11-22,24300
LDM-1.45B,2021-12-20,291985200000
LEP-AD,2023-03-15,1244420
LF-MMI,2016-09-08,720000
LISSOM,1995-11-27,2000
LLaMA-65B,2023-02-24,1400000000000
LLaVA-OV-72B,2024-08-06,38314783000
LMICA,2004-12-01,100000
LMSI-Palm,2022-10-20,1920000
LRCN,2014-11-07,400000
LRR-4X,2016-05-08,152231040
LSTM,1997-11-15,853000
LSTM + dynamic eval,2017-09-21,90000000
LSTM LM,2012-09-09,27000000
LSTM with forget gates,1999-01-02,140870000
LSTM+NeuralCache,2018-09-24,2000000
LTE speaker verification system,1966-11-01,417
LUKE,2020-10-02,4666666500
LaMDA,2022-02-10,2080000000000
LaNet-L (CIFAR-10),2019-06-17,60000
LeNet-5,1998-11-01,60000
Linear Decision Functions,1962-06-01,500
Ling-1T,2025-10-10,20000000000000
Llama 2-70B,2023-07-18,2000000000000
Llama 2-7B,2023-07-18,2000000000000
Llama 3-70B,2024-04-18,15000000000000
Llama 3.1-405B,2024-07-23,15600000000000
Llama 3.3 70B,2024-12-06,15000000000000
Llama 4 Behemoth (preview),2025-04-05,30000000000000
Llama 4 Maverick,2025-04-05,30000000000000
Llama 4 Scout,2025-04-05,30000000000000
Llama Guard,2023-12-07,4096000
Local Binary Patterns for facial recognition,2006-12-01,736
LongCat-Flash,2025-09-01,23000000000000
